Czas_Zapisu;Czas_Procesu;1_Temp_Keg;2_Temp_Bufor;3_Temp_10p;4_Temp_Glowica;5_Temp_Woda;Napiecie_V;Prad_A;Moc_W;Zuzycie_Wh;Temp_Zewn_C;Cisnienie_hPa;Komentarz
18:04:38;00:00:00;22,7;20,1;23,5;23,2;22,9;226,9;0,00;0,0;0,01;34,9;1003,2;
18:04:48;00:00:10;21,8;20,2;23,6;22,8;22,8;226,9;0,00;0,0;0,01;34,9;1003,2;
18:04:59;00:00:20;22,9;19,4;22,5;22,1;22,2;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:07:13;00:02:35;22,9;20,3;23,7;22,3;23,2;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:07:24;00:02:45;22,3;20,2;23,9;23,7;23,2;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:07:34;00:02:55;22,5;19,2;23,8;22,6;22,5;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:07:44;00:03:05;23,0;20,6;23,2;22,1;23,1;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:10:30;00:05:52;22,4;19,8;22,0;23,9;22,2;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:10:41;00:06:02;22,2;20,5;23,5;22,2;22,3;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:12:27;00:07:48;21,9;21,4;22,6;24,0;21,7;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:12:37;00:07:58;23,1;21,2;23,4;23,3;22,6;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:12:47;00:08:09;22,6;22,2;22,6;24,0;21,6;226,9;0,00;0,0;0,01;34,9;1003,2;
2026-06-29 18:12:57;00:08:19;21,8;21,9;23,7;22,3;22,7;226,9;0,00;0,0;0,01;34,9;1003,2;
